,school,school_logo,cases,location
149,Virginia Military Institute,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/vmi.jpg,5,"Lexington, Va."
150,Florida Polytechnic University,https://logo.clearbit.com/floridapoly.edu,5,"Lakeland, Fla."
151,Colorado School of Mines,https://logo.clearbit.com/mines.edu,5,"Golden, Colo."
152,North Carolina State University*,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/152.png,5,"Raleigh, N.C."
153,Rider University,https://logo.clearbit.com/rider.edu,5,"Lawrenceville , N.J."
154,Texas State University*,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/326.png,5,"San Marcos, Texas"
155,University of North Carolina at Charlotte*,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/2429.png,5,"Charlotte, N.C."
156,University of Colorado Boulder*,https://logo.clearbit.com/colorado.edu,4,"Boulder, Colo."
157,"California State University, San Marcos",https://logo.clearbit.com/csusm.edu,4,"San Marcos, Calif."
158,University of Memphis*,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/memphis.png,4,Memphis
159,Mississippi University for Women,https://logo.clearbit.com/muw.edu,4,"Columbus, Miss."
160,North Carolina A&T State University,https://logo.clearbit.com/ncat.edu,4,"Greensboro, N.C."
161,Southern Arkansas University,https://logo.clearbit.com/saumag.edu,4,"Magnolia, Ark."
162,Sonoma State University,https://logo.clearbit.com/sonoma.edu,4,"Ronhert Park, Calif."
163,University of Arkansas at Pine Bluff,https://logo.clearbit.com/uapb.edu,4,"Pine Bluff, Ark."
164,University of Dayton,https://logo.clearbit.com/udayton.edu,4,"Dayton, Ohio"
165,University of Michigan*,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/130.png,4,"Ann Arbor, Mich."
166,University of North Texas*,https://logo.clearbit.com/unt.edu,4,"Denton, Texas"
167,University of Toledo*,https://logo.clearbit.com/utoledo.edu,4,"Toledo, Ohio"
168,University of Washington Bothell,https://logo.clearbit.com/washington.edu,4,"Bothell, Wash."
169,Western Colorado University,https://logo.clearbit.com/western.edu,4,"Gunnison, Colo."
170,East Georgia State College,https://logo.clearbit.com/ega.edu,4,"Swainsboro, Ga."
171,University of Massachusetts Medical School,https://logo.clearbit.com/umassmed.edu,4,"Worcester, Mass."
172,University of Virginia,https://logo.clearbit.com/virginia.edu,4,"Charlottesville, Va."
173,Washington University in St. Louis,https://logo.clearbit.com/wustl.edu,4,St. Louis
174,"California State University, San Bernardino",https://logo.clearbit.com/csusb.edu,4,"San Bernardino, Calif."
175,University of Kentucky,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/96.png,4,"Lexington, Ky."
176,University of Arizona*,https://logo.clearbit.com/arizona.edu,3,"Tucson, Ariz."
177,Troy University Dothan,https://logo.clearbit.com/troy.edu,3,"Dothan, Ala."
178,Chicago State University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/chicagostate.jpg,3,Chicago
179,Auburn University*,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/2.png,3,"Auburn, Ala."
180,Columbia Basin College,https://logo.clearbit.com/columbiabasin.edu,3,"Pasco, Wash."
181,Emporia State University,https://logo.clearbit.com/emporia.edu,3,"Emporia, Kan."
182,Eastern Oregon University,https://logo.clearbit.com/eou.edu,3,"La Grande, Ore."
183,Francis Marion University,https://logo.clearbit.com/fmarion.edu,3,"Florence, S.C."
184,Longwood University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/longwood.jpg,3,"Farmville, Va."
185,Rio Hondo College,https://logo.clearbit.com/riohondo.edu,3,"Whittier, Calif."
186,University of Texas at San Antonio*,https://logo.clearbit.com/utsa.edu,3,San Antonio
187,Troy University-Phenix City Campus,https://logo.clearbit.com/troy.edu,3,"Phenix, Ala."
188,Georgia Highlands College,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/gah.jpg,3,"Rome, Ga."
189,Ohio State University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/194.png,3,"Columbus, Ohio"
190,California State University Maritime Academy,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/calmaritime.jpg,3,"Vallejo, Calif."
191,Centralia College,https://logo.clearbit.com/centralia.edu,3,"Centralia, Wash."
192,Carolinas College of Health Sciences,https://logo.clearbit.com/carolinascollege.edu,3,"Charlotte, N.C."
193,Southern Oregon University,https://logo.clearbit.com/sou.edu,2,"Ashland, Ore."
194,SUNY Alfred State College of Technology,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/alfred.jpg,2,"Alfred, N.Y."
195,"California State Polytechnic University, Pomona",https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/cpp.jpg,2,"Pomona, Calif."
196,SUNY Oswego,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/oswego.jpg,2,"Oswego, N.Y."
197,University of Central Missouri,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/ucm.jpg,2,"Warrensburg, Mo."
198,Alabama A&M University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/2010.png,2,"Huntsville, Ala."
199,College of Southern Idaho,https://logo.clearbit.com/csi.edu,2,"Twin Falls, Idaho"
200,Eastern Michigan University,https://logo.clearbit.com/emich.edu,2,"Ypsilanti, Mich."
201,Gardner-Webb University,https://logo.clearbit.com/gardner-webb.edu,2,"Boiling Springs, N.C."
202,Green River College,https://logo.clearbit.com/greenriver.edu,2,"Auburn, Wash."
203,Louisiana Tech University*,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/2348.png,2,"Ruston, La."
204,University of Louisville,https://logo.clearbit.com/louisville.edu,2,"Louisville, Ky."
205,Michigan Technological University,https://logo.clearbit.com/mtu.edu,2,"Houghton, Mich."
206,Northern State University,https://logo.clearbit.com/northern.edu,2,"Aberdeen, S.D."
207,Oregon Institute of Technology,https://logo.clearbit.com/oit.edu,2,"Klamath Falls , Ore."
208,St. Francis College,https://logo.clearbit.com/sfc.edu,2,New York City
209,Stetson University,https://logo.clearbit.com/stetson.edu,2,"DeLand, Fla."
210,University of North Carolina Asheville,https://logo.clearbit.com/unca.edu,2,"Asheville, N.C."
211,Valdosta State University,https://logo.clearbit.com/valdosta.edu,2,"Valdosta, Ga."
212,Winona State University,https://logo.clearbit.com/winona.edu,2,"Winona, Minn."
213,Washington State University,https://logo.clearbit.com/wsu.edu,2,"Pullman, Wash."
214,Western Washington University,https://logo.clearbit.com/wwu.edu,2,"Bellingham, Wash."
215,Renton Technical College,https://logo.clearbit.com/rtc.edu,2,"Renton, Wash."
216,Columbia University,https://logo.clearbit.com/columbia.edu,2,New York City
217,Western Illinois University,https://logo.clearbit.com/wiu.edu,2,"Macomb, Ill."
218,University of South Florida Sarasota-Manatee,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/usfsm.jpg,2,"Sarasota, Fla."
219,Shepherd University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/shepherd.jpg,2,"Shepherdstown, W.Va."
220,West Chester University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/wcu.jpg,1,"West Chester, Pa."
221,Weber State University,https://logo.clearbit.com/weber.edu,1,"Ogden, Utah"
222,Texas A&M University-Central Texas,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/amcentraltexas.jpg,1,"Kileen, Texas"
223,Long Island University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/liu.jpg,1,"Brookville, N.Y."
224,Valley City State University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/valleycitystate.jpg,1,"Valley City, S.D."
225,Western Michigan University*,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/wmich.jpg,1,"Kalamazoo, Mich."
226,Boston College*,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/103.png,1,"Chestnut Hill, Mass."
227,Black Hills State University,https://logo.clearbit.com/bhsu.edu,1,"Spearfish, S.D."
228,Cameron University,https://logo.clearbit.com/cameron.edu,1,"Lawton, Okla."
229,"California State University, Chico",https://logo.clearbit.com/csuchico.edu,1,"Chico, Calif."
230,"California State University, Channel Islands",https://logo.clearbit.com/csuci.edu,1,"Camarillo, Calif."
231,Fairmont State University,https://logo.clearbit.com/fairmontstate.edu,1,"Fairmont, W.Va."
232,Fort Hays State University,https://logo.clearbit.com/fhsu.edu,1,"Hays, Kan."
233,Florida State University*,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/52.png,1,"Tallahassee, Fla."
234,Fort Valley State University,https://logo.clearbit.com/fvsu.edu,1,"Fort Valley, Ga."
235,Gonzaga University,https://logo.clearbit.com/gonzaga.edu,1,"Spokane, Wash."
236,Grambling State University,https://logo.clearbit.com/gram.edu,1,"Grambling, La."
237,Lafayette College,https://logo.clearbit.com/lafayette.edu,1,"Easton, Pa."
238,Lewis-Clark State College,https://logo.clearbit.com/lcsc.edu,1,"Lewiston, Idaho"
239,Lock Haven University,https://logo.clearbit.com/lockhaven.edu,1,"Lock Haven, Pa."
240,Lake Washington Institute of Technology,https://logo.clearbit.com/lwtech.edu,1,"Kirkland, Wash."
241,University of Hawaii at Manoa,https://logo.clearbit.com/manoa.hawaii.edu,1,Honolulu
242,University of Hawaii Maui College,https://logo.clearbit.com/maui.hawaii.edu,1,"Kahului, Hawaii"
243,Midland College,https://logo.clearbit.com/midland.edu,1,"Midland, Texas"
244,Monmouth University,https://logo.clearbit.com/monmouth.edu,1,"West Long Branch, N.J."
245,University of Notre Dame*,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/87.png,1,"Notre Dame, Ind."
246,North Dakota State University,https://logo.clearbit.com/ndsu.edu,1,"Fargo, N.D."
247,Nicholls State University,https://logo.clearbit.com/nicholls.edu,1,"Thibodaux, La."
248,Northwestern Oklahoma State University,https://logo.clearbit.com/nwosu.edu,1,"Alva, Okla."
249,Purdue University*,https://logo.clearbit.com/purdue.edu,1,"West Lafayette, Ind."
250,University of Richmond,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/257.png,1,"Richmond, Va."
251,University of San Diego,https://logo.clearbit.com/sandiego.edu,1,San Diego
252,Spokane Falls Community College,https://logo.clearbit.com/sfcc.spokane.edu,1,"Spokane, Wash."
253,Shawnee State University,https://logo.clearbit.com/shawnee.edu,1,"Portsmouth, Ohio"
254,South Seattle College,https://logo.clearbit.com/southseattle.edu,1,Seattle
255,Saginaw Valley State University,https://logo.clearbit.com/svsu.edu,1,"University Center, Mich."
256,Temple University,https://logo.clearbit.com/temple.edu,1,Philadelphia
257,University of Arkansas*,https://logo.clearbit.com/uark.edu,1,"Fayetteville, Ark."
258,University of the Incarnate Word,https://logo.clearbit.com/uiw.edu,1,San Antonio
259,University of New Mexico*,https://logo.clearbit.com/unm.edu,1,Albuquerque
260,University of Science and Arts of Oklahoma,https://logo.clearbit.com/usao.edu,1,"Chickasha, Okla."
261,"University of Tennessee, Knoxville*",https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/2633.png,1,"Knoxville, Tenn."
262,University of Texas Permian Basin,https://logo.clearbit.com/utpb.edu,1,"Odessa, Texas"
263,Virginia Polytechnic Institute and State University,https://logo.clearbit.com/VT.EDU,1,"Blacksburg, Va."
264,Medical University of South Carolina,https://logo.clearbit.com/web.musc.edu,1,"Charleston, S.C."
265,University of Rhode Island,https://logo.clearbit.com/web.uri.edu,1,"Kingston, R.I."
266,William Paterson University,https://logo.clearbit.com/wpunj.edu,1,"Wayne, N.J."
267,Carnegie Mellon University,https://logo.clearbit.com/cmu.edu,1,Pittsburgh
268,Barnard College,https://logo.clearbit.com/barnard.edu,1,New York City
269,Winthrop University,https://logo.clearbit.com/winthrop.edu,1,"Rock Hill, S.C."
270,University of Missouri-St. Louis,https://logo.clearbit.com/umsl.edu,1,"Bellerive Acres, Mo."
